City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
235,mossel bay,-34.1831,22.146,53.53,83,100,3.85,ZA,1692387292
236,papao,-17.75,-149.55,80.28,70,17,25.19,PF,1692387293
237,shimoda,34.6667,138.95,78.1,86,2,5.77,JP,1692387293
238,svetlyy,54.675,20.1347,71.65,80,64,8.25,RU,1692387294
239,galle,6.0367,80.217,80.94,80,100,11.77,LK,1692387294
240,gulf shores,30.246,-87.7008,101.28,49,0,11.5,US,1692387295
241,altamont,42.2068,-121.7372,84.4,43,0,5.75,US,1692387295
242,samalut,28.3121,30.7101,86.14,27,34,7.14,EG,1692387295
243,trairi,-3.2778,-39.2689,80.04,70,16,14.76,BR,1692387296
244,mili,6.0815,171.735,83.21,75,100,5.68,MH,1692387296
245,taytay,14.5678,121.1394,82.06,91,20,1.14,PH,1692387296
246,san luis,-33.295,-66.3356,58.62,34,0,13.94,AR,1692387098
247,vilyuchinsk,52.9306,158.4028,57.47,90,100,6.76,RU,1692387297
248,flying fish cove,-10.4217,105.6791,71.28,100,100,5.75,CX,1692387297
249,mersa matruh,31.3525,27.2453,80.8,78,75,8.05,EG,1692387297
250,lengshuitan,26.4111,111.5956,79.77,74,100,1.05,CN,1692387297
251,pariaman,-0.619,100.12,77.05,89,94,2.01,ID,1692387297
252,taoudenni,22.6783,-3.9836,101.32,27,74,12.57,ML,1692387298
253,vangaindrano,-23.35,47.6,68.2,86,79,7.36,MG,1692387298
254,pitimbu,-7.4706,-34.8086,81.19,79,97,13.69,BR,1692387298
255,colares,38.7992,-9.4469,78.1,85,75,13.0,PT,1692387298
256,panaba,21.2833,-88.2667,100.53,34,0,16.71,MX,1692387299
257,hithadhoo,-0.6,73.0833,82.17,71,12,10.92,MV,1692387299
258,saint-philippe,-21.3585,55.7679,67.59,88,54,9.4,RE,1692387299
259,faya-largeau,17.9257,19.1043,97.56,15,25,14.27,TD,1692387299
260,opuwo,-18.0607,13.84,65.75,28,4,6.53,NA,1692387300
261,kuala belait,4.5833,114.1833,75.36,91,100,6.02,BN,1692387300
262,baie-comeau,49.2168,-68.1489,67.68,83,100,14.97,CA,1692387245
263,almeirim,-1.5233,-52.5817,89.17,45,100,1.66,BR,1692387301
264,jamaame,0.0697,42.745,75.63,86,98,11.27,SO,1692387301
265,bandon,51.7469,-8.7425,63.99,98,100,25.26,IE,1692387302
266,xinyuan,37.3,99.0,46.11,97,100,3.02,CN,1692387303
267,kerikeri,-35.2268,173.9474,54.41,74,100,9.46,NZ,1692387303
268,howard springs,-12.497,131.047,69.82,89,3,5.82,AU,1692387304
269,oruro,-17.9833,-67.15,64.89,19,0,13.8,BO,1692387305
270,brisas de zicatela,15.8369,-97.0419,88.32,62,20,3.44,MX,1692387305
271,morehead city,34.7229,-76.726,91.45,67,0,19.57,US,1692387306
272,anadyr,64.75,177.4833,59.5,77,75,8.95,RU,1692387306
273,nova olinda do norte,-3.8881,-59.0942,103.1,21,60,2.42,BR,1692387307
274,gobabis,-22.45,18.9667,64.0,18,3,6.6,NA,1692387307
275,villa la angostura,-40.7617,-71.6463,41.94,84,99,6.38,AR,1692387308
276,krasnaya gora,52.9995,31.6023,68.31,73,0,2.53,RU,1692387308
277,kontcha,7.9667,12.2333,72.41,96,100,3.78,CM,1692387308
278,shatrovo,56.5167,64.6333,66.43,80,35,5.26,RU,1692387309
279,coalcoman de vazquez pallares,18.7833,-103.15,80.44,65,100,2.06,MX,1692387309
280,ancud,-41.8697,-73.8203,47.55,67,88,10.85,CL,1692387309
281,the pas,53.8251,-101.2541,77.02,57,0,8.05,CA,1692387118
282,margate,51.3813,1.3862,72.9,89,100,3.0,GB,1692387142
283,rimouski,48.4488,-68.524,75.38,88,100,11.16,CA,1692387309
284,dryden,49.7833,-92.7503,75.49,41,0,16.11,CA,1692387122
285,buala,-8.145,159.5921,79.3,84,77,6.71,SB,1692387310
286,mananjary,-21.2167,48.3333,69.19,84,96,7.85,MG,1692387310
287,dudinka,69.4058,86.1778,55.17,68,99,4.54,RU,1692387311
288,zakharivka,47.3333,29.75,73.35,39,0,4.76,UA,1692387312
289,sola,-13.8833,167.55,77.52,85,78,14.47,VU,1692387312
290,puerto baquerizo moreno,-0.9,-89.6,81.59,65,40,17.27,EC,1692387312
291,udachny,66.4167,112.4,46.45,87,5,13.87,RU,1692387313
292,port saint john's,-31.6229,29.5448,61.63,67,63,7.56,ZA,1692387313
293,bwizibwera,-0.5917,30.6286,70.47,59,78,3.04,UG,1692387313
294,glace bay,46.1969,-59.957,70.05,97,100,13.8,CA,1692387313
295,santo antonio do ica,-3.1022,-67.9397,87.58,61,99,1.16,BR,1692387313
296,patterson,37.4716,-121.1297,91.02,26,0,1.34,US,1692387180
297,timbuktu,16.7735,-3.0074,97.61,32,100,7.25,ML,1692387314
298,la sarre,48.8002,-79.1996,51.35,94,100,15.1,CA,1692387187
299,okha,53.5739,142.9478,56.89,97,87,6.22,RU,1692387314
300,akranes,64.3218,-22.0749,60.85,75,100,11.79,IS,1692387314
301,kalaleh,37.3807,55.4916,77.43,58,0,3.09,IR,1692387314
302,arkhangel'sk,64.5401,40.5433,46.63,86,1,4.38,RU,1692387315
303,kabansk,52.0486,106.6528,51.73,91,84,4.92,RU,1692387315
304,guardo,42.7897,-4.8482,71.55,48,42,10.2,ES,1692387315
305,kimbe,-5.5502,150.1429,74.53,94,68,7.11,PG,1692387316
306,suva,-18.1416,178.4415,72.88,94,75,6.91,FJ,1692387316
307,port douglas,-16.4833,145.4667,66.97,77,8,3.24,AU,1692387316
308,mysore,12.3072,76.6497,69.1,88,100,9.35,IN,1692387316
309,vorgashor,67.5833,63.95,51.3,96,100,17.02,RU,1692387317
310,backa topola,45.8152,19.6318,74.52,57,41,6.13,RS,1692387317
311,isangel,-19.55,169.2667,71.71,78,100,4.61,VU,1692387317
312,callao,-12.0667,-77.15,74.71,64,100,14.97,PE,1692387318
313,happy valley-goose bay,53.3168,-60.3315,82.71,39,20,10.36,CA,1692387318
314,kropyvnytskyi,48.5132,32.2597,73.0,51,0,7.11,UA,1692387318
315,askoy,60.4092,5.226,67.95,88,40,4.61,NO,1692387319
316,al hasakah,36.5024,40.7477,98.92,13,46,8.48,SY,1692387319
317,broken hill,-31.95,141.4333,45.05,93,7,8.59,AU,1692387085
318,kiskunmajsa,46.4903,19.74,73.76,69,9,8.3,HU,1692387319
319,pavlodar,52.3,76.95,53.4,82,0,2.24,KZ,1692387319
320,manokwari,-0.8667,134.0833,76.8,82,100,2.19,ID,1692387320
321,robertsport,6.7533,-11.3686,77.18,87,100,10.89,LR,1692387320
322,fiambala,-27.6871,-67.6149,62.64,29,66,12.64,AR,1692387320
323,ulladulla,-35.35,150.4667,45.64,66,55,8.21,AU,1692387321
324,kilinochchi,9.3961,80.3982,81.93,75,100,17.67,LK,1692387321
325,el salto,20.3333,-104.5,77.13,55,100,5.12,MX,1692387321
326,raja,8.4596,25.678,74.91,80,3,3.76,SS,1692387321
327,ust'-kulom,61.6864,53.6902,54.23,61,89,11.97,RU,1692387321
328,selfoss,63.9331,-20.9971,59.04,77,100,13.53,IS,1692387321
329,belmonte,-15.8631,-38.8828,75.27,67,40,8.3,BR,1692387322
330,terenozek,45.05,64.9833,78.69,25,5,9.8,KZ,1692387322
331,touros,-5.1989,-35.4608,78.6,78,19,14.88,BR,1692387322
332,hwado,37.6525,127.3075,79.48,95,25,1.23,KR,1692387323
333,north bend,43.4065,-124.2243,79.25,64,0,18.41,US,1692387323
334,onega,63.9061,38.1404,47.32,82,9,0.85,RU,1692387323
335,mainpuri,27.2333,79.0167,87.57,64,98,5.35,IN,1692387324
336,airuk,7.2772,168.8203,82.8,77,81,8.23,MH,1692387324
337,pangody,65.85,74.4859,52.41,50,1,8.16,RU,1692387325
338,revda,56.801,59.9303,64.78,77,2,4.76,RU,1692387325
339,grants pass,42.439,-123.3284,90.19,45,0,0.0,US,1692387325
340,brookings,44.3114,-96.7984,80.94,50,0,26.46,US,1692387166
341,xilin hot,43.9667,116.0333,53.89,77,0,4.05,CN,1692387325
342,sungai raya,0.7,108.9,78.22,89,100,8.23,ID,1692387326
343,la'ie,21.6477,-157.9253,84.16,72,6,12.06,US,1692387326
344,igarka,67.4667,86.5833,55.71,78,100,6.35,RU,1692387326
345,boyolangu,-8.1181,111.8935,68.4,94,27,0.36,ID,1692387326
346,ghat,24.9647,10.1728,93.2,15,86,12.73,LY,1692387326
347,kokstad,-30.5472,29.4241,43.25,82,68,2.48,ZA,1692387327
348,mpulungu,-8.7623,31.1141,76.3,40,9,5.19,ZM,1692387327
349,zag,46.9441,99.165,46.06,44,0,3.76,MN,1692387327
350,falconara marittima,43.6233,13.4031,78.93,63,5,2.3,IT,1692387328
351,road town,18.4167,-64.6167,91.49,66,40,13.8,VG,1692387328
352,saudarkrokur,65.7461,-19.6394,54.14,81,86,4.97,IS,1692387328
353,bodo,67.28,14.405,55.44,80,0,6.91,NO,1692387328
354,luderitz,-26.6481,15.1594,55.49,82,100,8.77,NA,1692387328
355,tolanaro,-25.0319,46.9987,69.87,78,20,18.41,MG,1692387329
356,rockland,41.1668,-74.0496,81.97,60,19,1.01,US,1692387329
357,tamanrasset,22.785,5.5228,69.71,73,40,18.41,DZ,1692387329
358,middlesboro,36.6084,-83.7166,86.2,47,40,4.61,US,1692387329
359,sadovoye,47.7764,44.5089,83.97,27,83,8.43,RU,1692387330
360,gaspra,44.4333,34.1,75.29,57,0,8.19,UA,1692387330
361,gargalianoi,37.0667,21.6333,80.35,68,0,3.18,GR,1692387331
362,skopin,53.8249,39.5505,71.1,66,4,7.07,RU,1692387331
363,hotan,37.0997,79.9269,77.5,22,51,3.76,CN,1692387331
364,amos,48.5669,-78.1162,49.98,98,100,13.44,CA,1692387331
365,antonio enes,-16.2325,39.9086,73.04,82,3,9.31,MZ,1692387331
366,krasnogorskoye,52.2953,86.1979,49.24,89,16,2.95,RU,1692387332
